HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
c9aaf0ff618d863501313183fff2869f281b455d6f1cf9411551778f633305cc,69b740be626511ff3846701a11c44097a0d7163f0411238ddbb574dd5d87873b,9fdfb64b56eccc6aac47f68f429d6f0cdd34880329637873c08f9f7d4adf53c7,22209,9.416666666666666,7.833333333333333,8.25,8.75,9.75,9.916666666666666,10.416666666666666,10.583333333333334,10.666666666666666
17e24635362b4c186cf01870bb683dd597f90f195634e4b99c5e47d46e2c82b9,69b740be626511ff3846701a11c44097a0d7163f0411238ddbb574dd5d87873b,9fdfb64b56eccc6aac47f68f429d6f0cdd34880329637873c08f9f7d4adf53c7,22209,9.416666666666666,7.833333333333333,8.25,8.75,9.75,9.916666666666666,10.416666666666666,10.583333333333334,10.666666666666666
1948876d67f73860a97e6a6f57dad339f21f0188ff3eff1bf6f3df7f37606e71,98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,3f9fb0df8cc1017c171a7f07afd0fd8ca810f9a6f422a0872c1d3c471eb080b6,70035,22.77777777777778,20.444444444444443,21.11111111111111,22.22222222222222,22.88888888888889,23.55555555555556,24.11111111111111,24.11111111111111,42.11111111111112
28bff1b3e5bb814eb4f8b4780e8c9ac09e97194e27899c167697aac614b61c35,98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,3f9fb0df8cc1017c171a7f07afd0fd8ca810f9a6f422a0872c1d3c471eb080b6,70035,22.77777777777778,20.444444444444443,21.11111111111111,22.22222222222222,22.88888888888889,23.55555555555556,24.11111111111111,24.11111111111111,42.11111111111112
6036fc9c2124e4811749c8dd47e88a3466b0a91937bdb6ceba57eccea61278a7,05adaa46797bfe5f970486cea2a55eda78fd8c4fbf1021b9956cf2a34af24dd2,abd34a56f9444d1b5e540d8721e3473777bb0e36ff95d2ee1e1f1da3b01e7a46,71024,9.714285714285714,5.333333333333333,5.9523809523809526,9.80952380952381,10.095238095238097,10.285714285714286,10.571428571428571,10.80952380952381,12.0
08dac77bad1f97f6df44cb488e8105e41fd184d96f8ab172fb7781c4c10e92a2,104f438d72947b49216b97034e44c8f80e90b58c41c08afdad10f25a6eb1af7d,1e18e8b08faaf44ca6c460f5acf6fc09137626ee11f55077aa2ed356b9ab69bc,20680,11.8,11.266666666666667,11.466666666666669,11.6,11.733333333333333,11.866666666666667,12.466666666666669,13.533333333333331,19.6
195ce3553f9b5e8722723971b0ef36011a00ead3700259fa617b40e2b5310d35,aed35d9eaca0c29fbf4ed410c158c3c3f17c5427089550e4fe5646ff06021d45,d7b52bfcb61c7bc702e6488c3cb1bea8aab220efbe3d869d85a96eb1bf72b5b3,696,15.25,12.875,14.75,14.875,14.875,15.875,15.875,16.25,16.25
55ff4303d636bcb16b9dcda23decf2e6ba1c2747c33bd4379d4d5138a07f0fee,95c9f130e0142198cc5cb032272d5cbb66bcfb50c42cecbb15bbde1c79da166b,37e3891e4ffea199c2fd00b7dda0e9a322ae369744062d5067eed8e1167be474,21550,182.0,163.0,172.0,179.0,182.0,187.0,190.0,196.0,231.0
a5d33b46a81e47ea1a1d11902ab5b2ac8b7226ca42cbb1289c12399ac1b692df,1d8f49968255694029ff70bc55c8e05f814ae9c429f39220d0781120dc23158b,2122e1e4f9121ab7cf4b0860d6429a4c68d9d4ea8e2ab36036965c51bc0a6297,83607,126.0,120.0,120.0,120.0,123.0,125.0,147.0,147.0,148.0
0f85cc243d5cee3b571848f69c4c7ab53031f5b82977d98c96d9561d997f1d9d,2191cbde942236f91a98221d7671e243ca1c330213b508f2446160091a232d6f,82b99c754147e3e56b847d714e4724da69f7e3650ad6e435e0e3a2e628ca3101,7789,145.0,109.0,121.0,128.0,145.0,155.0,172.0,228.0,276.0
63a0e5f057df6a21211ea88551917ff4e85fc5c169955042d865a45c73191c6f,0ac21ccbe99b64e51c4105383194f21b0059d08576db078c017529313b999bc1,251db6b2bc414aad2ec8eac970aa9b09bd6464cce3ada92caa59a16d3f99ee5e,21170,115.0,105.0,106.0,112.0,114.0,117.0,127.0,139.0,140.0
50c299e17d4efc49801309706c558c57a6e5f94938a4aedfead15048c10f668f,b94dc9583d23949aa9cc4677230fbcc06a3b88a54b85e50acad41115e71fd4d1,d9c4c461d3175532b74070e6aa9e936b17f4cbe0397b1862479916ba781e3000,17236,139.0,116.0,117.0,127.0,138.0,150.0,172.0,175.0,178.0
ae6a959bddb2bd3410ddc58f61efc435847caff06a14764125a8ba3d696bef40,ae1d872de9a0147582179103a2dff79abae82c97b955d64141b26c51ef3dfe26,b705f5f15adc7ea7eb126ffd52dbd8740d045cc5c51ec10f8053210bfe144699,43753,159.0,107.0,130.0,148.0,156.0,169.0,199.0,229.0,251.0
