time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690200543633714108,/faas.Executor/Execute:29,workload-626568102769492340,true,432208,10418,97075,18282,8309,68
1690200543636928735,/faas.Executor/Execute:27,workload-6637683324521529507,true,431909,9296,98121,25824,4509,44
1690200543640353305,/faas.Executor/Execute:28,workload-5788821760416160076,true,441454,10040,99938,27964,3312,42
1690200543640452671,/faas.Executor/Execute:17,workload-1484933844777465266,true,433106,10992,97049,19809,11628,40
1690200543641618923,/faas.Executor/Execute:43,workload-2538207925270044032,true,433766,13956,97814,21620,7340,50
1690200543642955194,/faas.Executor/Execute:13,workload-5667417746378553659,true,439748,10197,102890,27664,3053,53
1690200543644176821,/faas.Executor/Execute:1,workload-6992449116505174818,true,450445,11089,80673,22029,12237,92
1690200543645077797,/faas.Executor/Execute:38,workload-7048049004677109528,true,450409,9791,86253,21961,9075,64
1690200543646977393,/faas.Executor/Execute:36,workload-5385202325896705673,true,449965,14594,81805,24324,8352,41
1690200543647581614,/faas.Executor/Execute:20,workload-605446024290086958,true,433563,9603,108103,26912,3696,61
1690200543648095916,/faas.Executor/Execute:10,workload-4518881050943461171,true,432374,13636,100149,29835,3491,64
1690200543648530149,/faas.Executor/Execute:11,workload-3233850398391569627,true,441977,7634,110871,26398,4569,54
1690200543648877920,/faas.Executor/Execute:18,workload-164674135381271999,true,440056,7769,111596,25519,4905,47
1690200543651621826,/faas.Executor/Execute:16,workload-5755136489585326103,true,443485,13413,105079,28933,3246,57
1690200543653785436,/faas.Executor/Execute:41,workload-246998798695322099,true,449369,13325,93183,26258,3074,51
1690200543654121505,/faas.Executor/Execute:37,workload-634774232481828648,true,443465,12118,110671,26645,3874,46
1690200543655164657,/faas.Executor/Execute:15,workload-8792605062521688496,true,452141,15182,86745,32272,3043,59
1690200543655240519,/faas.Executor/Execute:39,workload-2177881196720686620,true,431976,13811,112726,24218,3648,44
1690200543655401921,/faas.Executor/Execute:8,workload-5161459720132675731,true,434341,11195,118669,21501,3267,35
1690200543655632693,/faas.Executor/Execute:21,workload-4302354318803612162,true,435575,13193,111595,26538,3468,37
1690200543659191905,/faas.Executor/Execute:30,workload-4928708149886888055,true,459341,14173,101765,21852,3516,40
1690200543659670180,/faas.Executor/Execute:6,workload-3680399513030264771,true,452075,15066,95748,27302,3596,32
1690200543661699549,/faas.Executor/Execute:23,workload-2917771752566518005,true,451132,12957,101749,25980,3241,38
1690200543662101130,/faas.Executor/Execute:2,workload-3272639822370817247,true,453625,15158,101542,24067,3428,64
1690200543679941482,/faas.Executor/Execute:34,workload-2155802720584034154,true,482451,18273,91630,14473,6313,88
1690200543696505255,/faas.Executor/Execute:7,workload-1357117952324949385,true,490623,16219,98908,26081,6423,89
1690200543701883181,/faas.Executor/Execute:49,workload-1513224125384590727,true,481377,16205,101150,27101,7812,66
1690200543710883827,/faas.Executor/Execute:44,workload-5204272675025010416,true,470898,17879,120338,28368,14852,58
1690200543715785522,/faas.Executor/Execute:5,workload-6287530035212604313,true,488965,17301,107914,33089,8551,63
1690200543716852348,/faas.Executor/Execute:14,workload-3503718166787662471,true,468027,16471,124265,33211,13779,36
1690200543718459016,/faas.Executor/Execute:32,workload-2451051693856035795,true,460974,20632,121214,32153,15364,37
1690200543718984820,/faas.Executor/Execute:25,workload-4630891242166299428,true,460715,19690,127108,31223,11300,90
1690200543719491749,/faas.Executor/Execute:24,workload-3530531854822023677,true,489784,17112,118130,28043,7343,65
1690200543721803946,/faas.Executor/Execute:40,workload-3584195280339090167,true,480956,17775,110021,38444,6767,37
1690200543725371814,/faas.Executor/Execute:9,workload-6181826098068201053,true,486141,14469,118515,39334,4326,55
1690200543726890517,/faas.Executor/Execute:26,workload-7943312327650125864,true,461841,19495,137256,31258,9640,59
1690200543727431069,/faas.Executor/Execute:3,workload-608880749992734591,true,481913,14994,126380,32441,4829,39
1690200543728230355,/faas.Executor/Execute:19,workload-1540519024329409373,true,471076,19715,138361,29532,10818,163
1690200543728668675,/faas.Executor/Execute:12,workload-6151288308510936528,true,480388,18263,120288,36404,4248,45
1690200543729578799,/faas.Executor/Execute:22,workload-758667990088816886,true,462847,18904,141907,32238,7451,41
1690200543733751989,/faas.Executor/Execute:47,workload-5043753770491256314,true,482270,18663,130904,31926,3335,42
1690200543734104509,/faas.Executor/Execute:33,workload-8357646838007165399,true,481039,18899,127098,35185,3476,42
1690200543735430351,/faas.Executor/Execute:31,workload-2920986278806089925,true,463051,20117,154386,28696,2955,129
1690200543735875915,/faas.Executor/Execute:4,workload-9100770781572333179,true,483319,19094,132940,31358,3627,49
1690200543737596115,/faas.Executor/Execute:48,workload-6677526341755564127,true,464246,18545,146748,40248,3018,38
1690200543737860750,/faas.Executor/Execute:42,workload-543245906324796568,true,489934,14195,138810,33234,2779,55
1690200543742225099,/faas.Executor/Execute:0,workload-6244788868232264056,true,463541,20015,155251,32755,4917,48
1690200543743452316,/faas.Executor/Execute:45,workload-8089935946214918834,true,464591,19310,154632,36413,3634,404
1690200543744107542,/faas.Executor/Execute:46,workload-3901950806609669942,true,463162,19713,156512,34534,4224,42
1690200543744517980,/faas.Executor/Execute:35,workload-4828579610451438176,true,460507,15768,162208,33943,3466,35
