time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690202303025127128,/faas.Executor/Execute:0,workload-580687599570016256,true,416454,47189,125312,49170,17781,91
1690202303043593362,/faas.Executor/Execute:5,workload-5740418744078657119,true,405985,59955,105138,59901,32755,81
1690202303066999602,/faas.Executor/Execute:602,workload-5898811976922241510,true,453260,64905,154093,47452,16905,56
1690202303076511196,/faas.Executor/Execute:109,workload-4592207079931714058,true,411463,58166,148696,77339,8652,40
1690202303116417570,/faas.Executor/Execute:648,workload-4879201521354843938,true,151219,75414,146754,84370,24026,55
1690202303147039326,/faas.Executor/Execute:117,workload-6684961580435786861,true,15756,61189,158638,102969,38247,86
1690202303157915714,/faas.Executor/Execute:389,workload-4751161588001651662,true,286139,57323,200238,90159,24589,60
1690202303168560208,/faas.Executor/Execute:738,workload-5895396819509503410,true,550075,66880,202958,87241,27970,85
1690202303185499364,/faas.Executor/Execute:584,workload-1853486114892388029,true,159013,49495,229620,59936,51048,585
1690202303187348986,/faas.Executor/Execute:485,workload-2646037130628958812,true,458005,60232,170608,107987,62965,109
1690202303192935833,/faas.Executor/Execute:673,workload-6621579506779152492,true,417042,48267,257314,95961,6270,69
1690202303195932502,/faas.Executor/Execute:23,workload-1109743533919818828,true,316261,64394,216540,66761,55010,79
1690202303206391648,/faas.Executor/Execute:639,workload-2753839430930511350,true,293248,64772,258151,57345,32936,61
1690202303206399894,/faas.Executor/Execute:469,workload-7141384706595276539,true,158899,65069,268513,44338,35315,69
1690202303230734252,/faas.Executor/Execute:419,workload-4180449095123548844,true,348708,71946,270045,90271,14647,44
1690202303251978265,/faas.Executor/Execute:346,workload-6406226390950429049,true,309565,53838,302075,95852,14721,86
1690202303271172832,/faas.Executor/Execute:261,workload-3554795774800419106,true,306898,53782,322551,93263,16329,52
1690202303288555688,/faas.Executor/Execute:688,workload-5514104802531613205,true,16067,63757,300070,127193,11556,89
1690202303362702431,/faas.Executor/Execute:595,workload-8580900690652365401,true,408861,74287,437077,56638,10792,43
1690202303377254479,/faas.Executor/Execute:192,workload-6191336227464433524,true,349351,67922,425547,91013,9051,48
1690202303378226779,/faas.Executor/Execute:143,workload-8144664254583802907,true,487221,71778,496654,70942,18220,128
1690202303395479792,/faas.Executor/Execute:404,workload-5601347617166866349,true,308035,55743,454142,88547,13349,35
1690202303402027127,/faas.Executor/Execute:203,workload-7700068097521700558,true,349767,77558,482343,47680,8694,86
1690202303408459046,/faas.Executor/Execute:414,workload-2634693018672977611,true,456524,72229,447164,56376,39529,51
1690202303419724101,/faas.Executor/Execute:654,workload-5935564456710010913,true,150489,46904,477623,102829,7008,74
1690202303425228764,/faas.Executor/Execute:708,workload-4986701755771702046,true,326505,72738,544672,67892,18890,67
1690202303427194584,/faas.Executor/Execute:466,workload-7200595347036976184,true,326595,73488,553072,61958,17770,79
1690202303430922361,/faas.Executor/Execute:672,workload-4350138198845970757,true,462767,73960,424503,77564,61624,80
1690202303435918312,/faas.Executor/Execute:343,workload-2096440217040572366,true,448128,54286,494752,84500,17208,83
1690202303455192729,/faas.Executor/Execute:588,workload-4441071352143713836,true,295107,64289,501490,66509,29502,86
1690202303457293220,/faas.Executor/Execute:327,workload-668261940564363891,true,380271,71592,505692,60414,26444,39
1690202303471994337,/faas.Executor/Execute:637,workload-1775474045072551871,true,220801,68416,570861,73202,38553,75
1690202303476893026,/faas.Executor/Execute:609,workload-3658967495859198340,true,354139,67125,529109,79467,17226,86
1690202303489152152,/faas.Executor/Execute:8,workload-7918881108723647467,true,327739,69803,579329,67263,52176,64
1690202303510188216,/faas.Executor/Execute:498,workload-3598220978793790987,true,285866,68027,534104,92627,31601,63
1690202303511700627,/faas.Executor/Execute:153,workload-48608514346885352,true,245198,63989,613310,55726,58121,87
1690202303513103733,/faas.Executor/Execute:287,workload-7200296276014644629,true,347665,75982,548860,72178,32369,58
1690202303525782745,/faas.Executor/Execute:98,workload-8380826521610768798,true,308080,59940,562571,100866,16908,76
1690202303529119039,/faas.Executor/Execute:663,workload-4596675092327980835,true,454330,69936,566824,70839,37894,65
1690202303534572287,/faas.Executor/Execute:760,workload-5421302545325818138,true,347599,70614,616476,45496,18148,80
1690202303544490391,/faas.Executor/Execute:571,workload-894686315933693701,true,410712,74548,617290,59115,9582,63
1690202303564786199,/faas.Executor/Execute:435,workload-5240613934278479102,true,350428,66271,634930,67781,10380,56
1690202303572552535,/faas.Executor/Execute:462,workload-4655558671458300464,true,405035,63544,655407,60218,7974,40
1690202303574362493,/faas.Executor/Execute:701,workload-7800054176074925053,true,414053,81689,631150,67273,8744,54
1690202303576394336,/faas.Executor/Execute:189,workload-370749296951298531,true,310426,65068,567920,147932,9762,86
1690202303598927502,/faas.Executor/Execute:198,workload-3243032449197848875,true,309671,75916,664763,64186,8226,83
1690202303600259135,/faas.Executor/Execute:223,workload-3306621551415160587,true,353428,74567,637326,64805,103112,96
1690202303616808301,/faas.Executor/Execute:492,workload-2696781318931699653,true,311210,82270,696191,42915,9875,58
1690202303617214180,/faas.Executor/Execute:459,workload-8331286676576528997,true,392809,60965,626358,129462,14754,80
1690202303622811617,/faas.Executor/Execute:730,workload-2171729929441281013,true,15997,68137,681643,58393,29116,137
1690202303622824261,/faas.Executor/Execute:305,workload-5115826584975596837,true,404960,58785,680633,71537,26571,53
1690202303627162201,/faas.Executor/Execute:249,workload-6587403709013864110,true,285773,53436,700558,57874,29800,88
1690202303637289637,/faas.Executor/Execute:517,workload-3793930163603431315,true,350011,73984,715250,51601,12683,72
1690202303664287179,/faas.Executor/Execute:715,workload-6286185857805539107,true,310991,60681,660486,148490,9059,65
1690202303675698327,/faas.Executor/Execute:60,workload-5940604591752582894,true,317337,77195,734492,58197,12473,87
1690202303695331305,/faas.Executor/Execute:336,workload-7886513361830090863,true,310819,64941,677984,153346,13383,82
1690202303712551277,/faas.Executor/Execute:367,workload-704900843082771828,true,286375,73345,675920,162434,14935,90
1690202303714340505,/faas.Executor/Execute:444,workload-7133604694321284572,true,348433,72850,681667,155028,18953,57
1690202303715614640,/faas.Executor/Execute:286,workload-4342903316696169458,true,310622,70128,730564,109131,20092,84
1690202303737232384,/faas.Executor/Execute:632,workload-4794570965859643531,true,352301,70845,772534,90978,17038,65
1690202303738318807,/faas.Executor/Execute:144,workload-3727976631393718561,true,286035,72872,775088,54227,52257,80
1690202303753522985,/faas.Executor/Execute:248,workload-7594577323129893356,true,352105,75978,830676,49486,11409,85
1690202303758306409,/faas.Executor/Execute:217,workload-6285739355186561996,true,392040,71150,769997,115102,16277,124
1690202303758974249,/faas.Executor/Execute:625,workload-1424080801636761653,true,150896,73573,745058,140367,14027,61
1690202303763316606,/faas.Executor/Execute:577,workload-3159677686567480059,true,363273,70678,799272,77732,22341,99
1690202303763734829,/faas.Executor/Execute:406,workload-742561098439514091,true,396246,76664,816707,76280,8414,68
1690202303768998311,/faas.Executor/Execute:513,workload-773102726855318973,true,347256,75773,724664,63929,184004,90
1690202303771617093,/faas.Executor/Execute:463,workload-7217093011492336489,true,335953,74847,736793,81571,157878,88
1690202303782093071,/faas.Executor/Execute:202,workload-4955504872728962921,true,285695,57472,886427,42405,10225,45
1690202303788049820,/faas.Executor/Execute:607,workload-5373385712572504192,true,324976,78798,731811,82661,174100,51
1690202303796256120,/faas.Executor/Execute:250,workload-5099285860783460885,true,448185,76201,839549,84140,10874,47
1690202303797617138,/faas.Executor/Execute:114,workload-5103157184721321787,true,457750,78141,842619,79230,12192,29
1690202303799602303,/faas.Executor/Execute:28,workload-6114670028385711524,true,459135,74230,842976,83440,13622,59
1690202303809235524,/faas.Executor/Execute:36,workload-7324305429327703132,true,317241,80046,787932,139285,8695,64
1690202303847694760,/faas.Executor/Execute:209,workload-6943201656646770224,true,289670,64724,723886,140777,197493,88
1690202303850267125,/faas.Executor/Execute:446,workload-2083985324227381546,true,392330,54948,936185,58585,15105,77
1690202303852128118,/faas.Executor/Execute:270,workload-1421945692247357936,true,287291,83793,787308,80504,179769,53
1690202303859697236,/faas.Executor/Execute:753,workload-3995019553261465771,true,410211,68734,814451,148020,35366,58
1690202303860403878,/faas.Executor/Execute:798,workload-3170449439901274002,true,315508,98630,836452,99139,32992,72
1690202303869177671,/faas.Executor/Execute:714,workload-7850030703514355217,true,383205,75335,737726,202083,133540,79
1690202303885685329,/faas.Executor/Execute:667,workload-5028914250610544456,true,394594,66020,934094,68082,32165,76
1690202303903711148,/faas.Executor/Execute:119,workload-997335539809123126,true,294924,79293,824821,131980,74278,95
1690202303905830495,/faas.Executor/Execute:45,workload-2835762850037528180,true,317366,81185,834742,123758,73051,116
1690202303916318916,/faas.Executor/Execute:260,workload-6191260692625937412,true,23181,85109,858131,95760,84037,73
1690202303916336990,/faas.Executor/Execute:156,workload-170319213875386451,true,463350,83514,829637,130565,79448,86
1690202303918010142,/faas.Executor/Execute:479,workload-1824073601137339288,true,402413,78115,822127,143174,81176,80
1690202303926903618,/faas.Executor/Execute:44,workload-7985457367143985944,true,339356,78419,696442,268744,162582,59
1690202303933096770,/faas.Executor/Execute:285,workload-3085778856792570716,true,315975,81596,832070,150095,76049,94
1690202303951332393,/faas.Executor/Execute:107,workload-5292140306637443671,true,316272,79772,897432,91728,89165,72
1690202303958670317,/faas.Executor/Execute:93,workload-148402492216266733,true,0,22299,1008195,54410,19432,78
1690202303964598493,/faas.Executor/Execute:257,workload-1655151926061688005,true,317138,80496,840899,146990,102908,59
1690202303969275207,/faas.Executor/Execute:227,workload-7110510454684085761,true,356503,83090,832543,151261,109070,90
1690202303993147981,/faas.Executor/Execute:782,workload-6257995976780309417,true,308932,72205,1049813,58831,26414,78
