time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690620811438664872,/faas.Executor/Execute&0,workload-3853072416988489055,true,1,7734,118376,37402,6229,51
1690620811534175545,/faas.Executor/Execute&1,workload-5863163053396602137,true,0,6348,116997,35531,6237,32
1690620811613517477,/faas.Executor/Execute&2,workload-4602837548622677414,true,1,5762,94974,39533,5714,56
1690620811668592017,/faas.Executor/Execute&3,workload-7984877957302741016,true,1,6333,50752,37813,4715,54
1690620811797695426,/faas.Executor/Execute&4,workload-8645713242529194507,true,1,5715,77833,40047,4965,27
1690620811952866898,/faas.Executor/Execute&5,workload-6156951625668945180,true,1,7433,128133,38357,8194,63
1690620811972096733,/faas.Executor/Execute&6,workload-8120272393045087251,true,0,7122,52192,38955,4371,31
1690620812073050845,/faas.Executor/Execute&7,workload-2950228667490504622,true,0,5781,52667,38550,5080,32
1690620812187525074,/faas.Executor/Execute&8,workload-263689107399981706,true,0,5159,67036,39250,5239,30
1690620812342206477,/faas.Executor/Execute&9,workload-2511999640735218571,true,0,6303,121059,37798,6148,63
1690620812378658554,/faas.Executor/Execute&10,workload-5641755954308586402,true,0,5950,55480,39760,6395,50
1690620812546398653,/faas.Executor/Execute&11,workload-10488150882846411,true,1,6614,124433,38203,5784,51
1690620812638486705,/faas.Executor/Execute&12,workload-5303813284392777738,true,0,5473,110806,44382,6326,38
1690620812721688882,/faas.Executor/Execute&13,workload-1696319744598361446,true,0,5167,98390,39752,5629,48
1690620812778368107,/faas.Executor/Execute&14,workload-1645490780463185160,true,1,6044,54591,38888,6088,35
1690620812922353951,/faas.Executor/Execute&15,workload-7939188204602809740,true,1,5981,95570,41031,6235,43
1690620812981556458,/faas.Executor/Execute&16,workload-6320683807568467267,true,0,5987,55222,40182,5541,35
1690620813085980622,/faas.Executor/Execute&17,workload-317754414404233848,true,0,6016,58322,41988,5841,36
1690620813203676074,/faas.Executor/Execute&18,workload-8089630637723003985,true,0,5210,76057,41344,5120,45
1690620813316361350,/faas.Executor/Execute&19,workload-519504289633404573,true,0,7331,86786,42516,4624,33
1690620813514527352,/faas.Executor/Execute&20,workload-3611668726494020168,true,0,5614,82952,144097,6450,43
1690620813566232962,/faas.Executor/Execute&21,workload-3406914182444410724,true,1,5569,66624,111870,6369,40
1690620814295937208,/faas.Executor/Execute&23,workload-5672889013601881234,true,1,5556,82306,431755,199632,42
1690620814917994313,/faas.Executor/Execute&26,workload-8836344352793723586,true,1,5465,200083,566713,267741,81
1690620815062134166,/faas.Executor/Execute&25,workload-3170132762409723266,true,0,6123,57984,1030604,189858,40
1690620815133426460,/faas.Executor/Execute&22,workload-1710249130965209562,true,1,6200,99408,1344769,206331,52
1690620815134026598,/faas.Executor/Execute&27,workload-8274321989662621138,true,1,5892,121822,843445,184152,80
1690620815134041546,/faas.Executor/Execute&24,workload-7941859983793743204,true,1,12124,134842,1107566,203025,73
1690620815551310184,/faas.Executor/Execute&29,workload-2752815459336320836,true,1,6383,60462,992498,313382,45
1690620815551396877,/faas.Executor/Execute&28,workload-5077307992343449637,true,1,5910,129275,1015902,321255,86
1690620815551480254,/faas.Executor/Execute&31,workload-9125201669366873026,true,0,5426,113767,738405,313694,67
1690620815551493929,/faas.Executor/Execute&33,workload-4390502545021346404,true,0,6429,44020,606621,313642,149
1690620815551791629,/faas.Executor/Execute&36,workload-3884352911413755257,true,1,5970,59240,438951,165649,54
1690620815691587839,/faas.Executor/Execute&30,workload-1754490484494988401,true,0,6913,124930,836217,443733,189
1690620815807800854,/faas.Executor/Execute&34,workload-5618220626264115602,true,1,5804,100877,464499,555569,64
1690620815811234857,/faas.Executor/Execute&35,workload-3449754816698830785,true,0,5648,39631,410811,573325,75
1690620816171442560,/faas.Executor/Execute&32,workload-37550347997877177,true,1,5904,95255,647586,941477,60
1690620816744501050,/faas.Executor/Execute&41,workload-1698993277969580295,true,1,7650,37884,949190,366180,72
1690620816744582283,/faas.Executor/Execute&37,workload-3728621186958063369,true,1,5485,82999,1307343,366630,79
1690620817807695432,/faas.Executor/Execute&39,workload-9039085579484537114,true,1,6003,61655,1973312,583787,61
1690620817927631201,/faas.Executor/Execute&40,workload-5160119746081951907,true,0,7730,102948,1829376,703620,208
1690620817928281954,/faas.Executor/Execute&42,workload-4115843278120589067,true,1,9699,106986,1623778,703947,79
1690620818060296833,/faas.Executor/Execute&38,workload-3880824798368124553,true,1,5616,38783,2508567,424479,47
1690620818176331394,/faas.Executor/Execute&43,workload-1306978346974475449,true,1,6213,63714,2340878,180761,99
1690620818186718121,/faas.Executor/Execute&47,workload-6568761290042300808,true,1,6078,122369,1881910,190853,62
1690620818399659448,/faas.Executor/Execute&54,workload-3433415885950429282,true,1,5890,40601,1259120,404250,86
1690620818399745269,/faas.Executor/Execute&48,workload-4863624402229154684,true,1,6906,63096,1480304,762957,154
1690620818794767534,/faas.Executor/Execute&44,workload-8275521714563963246,true,1,5967,161217,2340737,602513,89
1690620819549778279,/faas.Executor/Execute&62,workload-2711591239037148139,true,0,5334,40691,1265676,742926,40
1690620819550251408,/faas.Executor/Execute&59,workload-5841488039590450440,true,1,7558,49953,1672955,627463,93
1690620819550431326,/faas.Executor/Execute&52,workload-479799041135262841,true,1,6951,39238,1883981,1130827,89
1690620819550602107,/faas.Executor/Execute&61,workload-1584568962659701790,true,0,6438,37895,1366198,745897,82
1690620819550611104,/faas.Executor/Execute&58,workload-3829457971068068368,true,1,5851,130836,1531255,790692,124
1690620819550620552,/faas.Executor/Execute&57,workload-5657675881831048095,true,1,6154,38067,2193915,306634,44
