time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690548067529134007,/faas.Executor/Execute&0,workload-6590464592592567893,true,1,7189,97688,26212,3740,56
1690548067556458937,/faas.Executor/Execute&1,workload-8887829918113745293,true,1,9920,84452,25253,4008,62
1690548067574656775,/faas.Executor/Execute&2,workload-299285919591518537,true,0,6561,65137,27409,2642,35
1690548067651532617,/faas.Executor/Execute&3,workload-174898825883968648,true,1,10187,99561,24905,3349,60
1690548067682980205,/faas.Executor/Execute&4,workload-5525482110282984909,true,1,6778,93642,26382,2939,49
1690548067694617040,/faas.Executor/Execute&5,workload-6027774075541152924,true,1,7534,64985,25882,2716,45
1690548067755775742,/faas.Executor/Execute&6,workload-292725769842923115,true,1,7612,80509,29743,3765,57
1690548067779011509,/faas.Executor/Execute&7,workload-8537401233397361440,true,1,8455,67958,25127,3305,66
1690548067848362012,/faas.Executor/Execute&8,workload-1096740900388860652,true,1,7670,97795,25787,3415,44
1690548067907377046,/faas.Executor/Execute&9,workload-6640712055501276037,true,1,9681,110197,28398,4657,54
1690548067909673548,/faas.Executor/Execute&10,workload-5012097423424385518,true,1,8147,68710,35043,3305,51
1690548067962931749,/faas.Executor/Execute&11,workload-3288144426747647937,true,1,7203,87598,29280,4152,83
1690548067993781986,/faas.Executor/Execute&12,workload-5199819159113959179,true,1,9309,81556,25627,2526,49
1690548068061097462,/faas.Executor/Execute&14,workload-4359898209338706980,true,1,6659,65624,29825,2593,45
1690548068068634262,/faas.Executor/Execute&13,workload-8637598960560380725,true,1,9231,114181,26410,3661,41
1690548068137122136,/faas.Executor/Execute&15,workload-9191793820891323706,true,1,8781,103217,25280,3710,39
1690548068176411221,/faas.Executor/Execute&16,workload-9130451892447978382,true,1,7131,102995,27167,2999,66
1690548068186200870,/faas.Executor/Execute&17,workload-2669717141923522011,true,2,6656,74757,25103,3342,58
1690548068236134719,/faas.Executor/Execute&18,workload-2740260247559746142,true,1,6656,82750,27173,3122,39
1690548068265379726,/faas.Executor/Execute&19,workload-9000342073666061627,true,1,10336,67335,27528,3097,53
1690548068323040353,/faas.Executor/Execute&20,workload-3150085049621140711,true,1,7900,90088,25408,3088,47
1690548068351098775,/faas.Executor/Execute&21,workload-3617865420039085124,true,0,6634,78052,26710,2557,34
1690548068362622622,/faas.Executor/Execute&22,workload-1280813307480292162,true,1,8593,45320,27308,3179,48
1690548068395743281,/faas.Executor/Execute&23,workload-42432356708697147,true,0,5747,41605,26957,2947,35
1690548068475386392,/faas.Executor/Execute&24,workload-3283457444809558056,true,1,7328,79401,27167,2895,53
1690548068506566795,/faas.Executor/Execute&25,workload-9080027249878669887,true,1,5986,71872,26631,3329,42
1690548068548949456,/faas.Executor/Execute&26,workload-8625658785643373606,true,1,5901,73744,26743,3358,51
1690548068623861006,/faas.Executor/Execute&27,workload-8001123132176083872,true,0,5843,108025,27632,3170,70
1690548068628467365,/faas.Executor/Execute&28,workload-1059131769884626638,true,0,8276,70619,27010,3083,46
1690548068700495625,/faas.Executor/Execute&30,workload-8978858156278623950,true,1,6419,63001,27656,3191,62
1690548068701255368,/faas.Executor/Execute&29,workload-3572501093300325920,true,1,9666,98968,28136,3115,59
1690548068761515078,/faas.Executor/Execute&31,workload-311856723816176240,true,1,6656,82874,28612,3263,55
1690548068795589020,/faas.Executor/Execute&32,workload-7147674735234915030,true,1,6487,80725,24688,3232,47
