time,service_name,container_id,get_metadata,cold_start,cold_start_pause,load_balancing,cc_throttling,proxying,other
1690621657643502403,/faas.Executor/Execute&14,workload-4275525736328740400,0,101999,50000,113,1,642,588
1690621657656596926,/faas.Executor/Execute&41,workload-7704180387694518449,1,113572,50000,120,1,578,732
1690621657660738242,/faas.Executor/Execute&76,workload-6637595745551500280,2,126138,50000,88,0,601,420
1690621657660909986,/faas.Executor/Execute&63,workload-5013775220764784370,1,121469,50000,92,1,661,634
1690621657677830470,/faas.Executor/Execute&38,workload-9088209384778338374,1,134523,50000,105,1,552,1706
1690621657677973137,/faas.Executor/Execute&45,workload-5860564992860052627,0,133400,50000,128,1,536,1027
1690621657682342191,/faas.Executor/Execute&89,workload-6919384759549592862,1,91409,50000,88,1,560,1054
1690621657682373048,/faas.Executor/Execute&13,workload-2063737611595102691,0,88045,50000,81,0,675,2310
1690621657691756401,/faas.Executor/Execute&8,workload-4556745855526529524,1,151768,50000,113,1,632,2722
1690621657691795387,/faas.Executor/Execute&91,workload-7987766837970617819,1,149490,50000,219,1,540,964
1690621657700100508,/faas.Executor/Execute&17,workload-6415267374954284854,1,109394,50000,93,1,453,1573
1690621657716964472,/faas.Executor/Execute&25,workload-6718110152957599771,1,177709,50000,105,1,583,898
1690621657717443134,/faas.Executor/Execute&80,workload-1154345090398038141,0,174934,50000,121,0,553,181
1690621657759590589,/faas.Executor/Execute&36,workload-1269523477284537945,0,124406,50000,91,1,670,10099
1690621657786595331,/faas.Executor/Execute&94,workload-9148734103499632271,1,151537,50000,157,1,571,9277
1690621657786945996,/faas.Executor/Execute&90,workload-2531494194573811158,0,157906,50000,293,0,683,4473
1690621657799458922,/faas.Executor/Execute&27,workload-8563147745200576386,0,249148,50000,86,1,7772,1390
1690621657799502924,/faas.Executor/Execute&53,workload-7702385059224987642,2,162553,50000,90,1,10971,1004
1690621657799567239,/faas.Executor/Execute&28,workload-1507180084365990289,1,160591,50000,278,0,13158,512
1690621657799761906,/faas.Executor/Execute&19,workload-4010707969606091031,0,256693,50000,87,0,514,341
1690621657804162394,/faas.Executor/Execute&34,workload-4973817892579991730,0,260526,50000,119,1,565,809
1690621657811024983,/faas.Executor/Execute&57,workload-4005437161968734463,0,181935,50000,98,1,638,6448
1690621657817686305,/faas.Executor/Execute&18,workload-8426187987099603440,1,277985,50000,104,0,1202,132
1690621657843357006,/faas.Executor/Execute&85,workload-7330094997519575718,1,299645,50000,83,1,584,3851
